"Document Title","Authors","Publication Year","Title: Skin","Abstract: Skin","First Removal","Abstract: Traditional ML","Second Removal","Duplication Status","Third Removal","Accepted or not","Proposed Model","Tasks (Objectives)","Used Databases"," Proposed Methodology"," Evaluation Metrics and Results","Abstract","DOI","Author Keywords","Article Citation Count","PDF Link"
"On the Usefulness of Pre-Processing Step in Melanoma Detection Using Multiple Instance Learning","Vocaturo E.; Zumpano E.; Veltri P.","2019","0","1","0","0","0","Unique","0","","","","","","","Although skin cancers, and melanoma in particular, are characterized by a high mortality rate, on the other hand they can be effectively treated when the diagnosis is made at the initial stages. The research in this field is attempting to design systems aimed at automatically detecting melanomas on the basis of dermoscopic images. The interest is also motivated by the opportunity to implement solutions that favor self-diagnosis in the population. Determining effective detection methods to reduce the error rate in diagnosis is a crucial challenge. Computer Vision Systems are characterized by several basic steps. Pre-processing is the first phase and plays the fundamental role to improve the image quality by eliminating noises and irrelevant parts from the background of the skin. In [1] we presented an application to image classification of a Multiple Instance Learning approach (MIL), with the aim to discriminate between positive and negative images. In [3] we subsequently applied this method to clinical data consisting of non-pre-processed melanoma dermoscopic images. In [2] we also investigated some pre-processing techniques useful for automatic analysis of melanoma images. In this work we propose to use, after applying a pre-processing step, the MIL approach presented in [1] on the same melanoma data set adopted in [3]. The preliminary results appear promising for defining automatic systems that act as a “filter” mechanism to support physicians in detecting melanomas cancer. © 2019, Springer Nature Switzerland AG.","10.1007/978-3-030-27629-4_34","Image pre-processing; Melanoma detection; Multiple instance learning","31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072851688&doi=10.1007%2f978-3-030-27629-4_34&partnerID=40&md5=8bc05801a2be80c02ad0b26466ced08b"
"On the Usefulness of Pre-Processing Step in Melanoma Detection Using Multiple Instance Learning","Vocaturo E.; Zumpano E.; Veltri P.","2019","0","1","0","0","0","Unique","0","","","","","","","Although skin cancers, and melanoma in particular, are characterized by a high mortality rate, on the other hand they can be effectively treated when the diagnosis is made at the initial stages. The research in this field is attempting to design systems aimed at automatically detecting melanomas on the basis of dermoscopic images. The interest is also motivated by the opportunity to implement solutions that favor self-diagnosis in the population. Determining effective detection methods to reduce the error rate in diagnosis is a crucial challenge. Computer Vision Systems are characterized by several basic steps. Pre-processing is the first phase and plays the fundamental role to improve the image quality by eliminating noises and irrelevant parts from the background of the skin. In [1] we presented an application to image classification of a Multiple Instance Learning approach (MIL), with the aim to discriminate between positive and negative images. In [3] we subsequently applied this method to clinical data consisting of non-pre-processed melanoma dermoscopic images. In [2] we also investigated some pre-processing techniques useful for automatic analysis of melanoma images. In this work we propose to use, after applying a pre-processing step, the MIL approach presented in [1] on the same melanoma data set adopted in [3]. The preliminary results appear promising for defining automatic systems that act as a “filter” mechanism to support physicians in detecting melanomas cancer. © 2019, Springer Nature Switzerland AG.","10.1007/978-3-030-27629-4_34","Image pre-processing; Melanoma detection; Multiple instance learning","31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072851688&doi=10.1007%2f978-3-030-27629-4_34&partnerID=40&md5=8bc05801a2be80c02ad0b26466ced08b"
"Automatic histologically-closer classification of skin lesions","Rebouças Filho P.P.; Peixoto S.A.; Medeiros da Nóbrega R.V.; Hemanth D.J.; Medeiros A.G.; Sangaiah A.K.; de Albuquerque V.H.C.","2018","1","1","0","0","0","Unique","0","","","","","","","According to the American Cancer Society, melanoma is one of the most common types of cancer in the world. In 2017, approximately 87,110 new cases of skin cancer were diagnosed in the United States alone. A dermatoscope is a tool that captures lesion images with high resolution and is one of the main clinical tools to diagnose, evaluate and monitor this disease. This paper presents a new approach to classify melanoma automatically using structural co-occurrence matrix (SCM) of main frequencies extracted from dermoscopy images. The main advantage of this approach consists in transform the SCM in an adaptive feature extractor improving his power of discrimination using only the image as parameter. The images were collected from the International Skin Imaging Collaboration (ISIC) 2016, 2017 and Pedro Hispano Hospital (PH2) datasets. Specificity (Spe), sensitivity (Sen), positive predictive value, F Score, Harmonic Mean, accuracy (Acc) and area under the curve (AUC) were used to verify the efficiency of the SCM. The results show that the SCM in the frequency domain work automatically, where it obtained better results in comparison with local binary patterns, gray-level co-occurrence matrix and invariant moments of Hu as well as compared with recent works with the same datasets. The results of the proposed approach were: Spe 95.23%, 92.15% and 99.4%, Sen 94.57%, 89.9% and 99.2%, Acc 94.5%, 89.93% and 99%, and AUC 92%, 90% and 99% in ISIC 2016, 2017 and PH2 datasets, respectively. © 2018 Elsevier Ltd","10.1016/j.compmedimag.2018.05.004","Image classification; Machine learning; Melanoma; Structural co-occurrence matrix","45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048624238&doi=10.1016%2fj.compmedimag.2018.05.004&partnerID=40&md5=811aa6a730757e79ac3803551ba0f064"
"Evaluation of Levenberg-Marquardt neural networks and stacked autoencoders clustering for skin lesion analysis, screening and follow-up","Rundo F.; Conoci S.; Banna G.L.; Ortis A.; Stanco F.; Battiato S.","2018","1","1","0","0","0","Unique","0","","","","","","","Traditional methods for early detection of melanoma rely on the visual analysis of the skin lesions performed by a dermatologist. The analysis is based on the so-called ABCDE (Asymmetry, Border irregularity, Colour variegation, Diameter, Evolution) criteria, although confirmation is obtained through biopsy performed by a pathologist. The proposed method exploits an automatic pipeline based on morphological analysis and evaluation of skin lesion dermoscopy images. Preliminary segmentation and pre-processing of dermoscopy image by SC-cellular neural networks is performed, in order to obtain ad-hoc grey-level skin lesion image that is further exploited to extract analytic innovative hand-crafted image features for oncological risks assessment. In the end, a pre-trained Levenberg-Marquardt neural network is used to perform ad-hoc clustering of such features in order to achieve an efficient nevus discrimination (benign against melanoma), as well as a numerical array to be used for follow-up rate definition and assessment. Moreover, the authors further evaluated a combination of stacked autoencoders in lieu of the Levenberg-Marquardt neural network for the clustering step. © The Institution of Engineering and Technology 2018.","10.1049/iet-cvi.2018.5195","","29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053451652&doi=10.1049%2fiet-cvi.2018.5195&partnerID=40&md5=128284df3f10043a265eb9040c639c5f"
"Diagnosis of skin diseases using Convolutional Neural Networks","Rathod J.; Wazhmode V.; Sodha A.; Bhavathankar P.","2018","1","1","0","0","0","Unique","0","","","","","","","Dermatology is one of the most unpredictable and difficult terrains to diagnose due its complexity. In the field of dermatology, many a times extensive tests are to be carried out so as to decide upon the skin condition the patient may be facing. The time may vary from practitioner to practitioner. This is also based on the experience of that person too. So, there is a need of a system which can diagnose the skin diseases without any of these constraints. We propose an automated image based system for recognition of skin diseases using machine learning classification. This system will utilize computational technique to analyze, process, and relegate the image data predicated on various features of the images. Skin images are filtered to remove unwanted noise and also process it for enhancement of the image. Feature extraction using complex techniques such as Convolutional Neural Network (CNN), classify the image based on the algorithm of softmax classifier and obtain the diagnosis report as an output. This system will give more accuracy and will generate results faster than the traditional method, making this application an efficient and dependable system for dermatological disease detection. Furthermore, this can also be used as a reliable real time teaching tool for medical students in the dermatology stream. © 2018 IEEE.","10.1109/ICECA.2018.8474593","Artificial Intelligence; Automated Disease Diagnosis; Computational Intelligence; Computer Vision; Convolutional Neural Network; Deep Learning; Dermatology; Image Processing; Machine Learning; Neural Network","111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060845364&doi=10.1109%2fICECA.2018.8474593&partnerID=40&md5=e540a72df45e190264117179d041a559"
"Robust Feature Spaces from Pre-Trained Deep Network Layers for Skin Lesion Classification","Pereira Dos Santos F.; Antonelli Ponti M.","2018","1","1","0","0","0","First occurrence","0","","","","","","","The incidence of skin cancer in the world population is a public health concern, and the first diagnosis takes into account the appearance of lesions on skin. In this context, automated methods to aid the screening for malign lesions can be an important tool. However, the efficiency of developed methods depends directly on the quality of the generated feature space which may vary when considering different image datasets and sources. We present a detailed study of feature spaces obtained from deep convolutional networks (CNNs), using the benchmark PH2 dataset, considering three CNN architectures, as well as investigating different layers, impact of dimensionality reduction, use of colour quantisation and noise addition. Our results show that, features have discriminative capability comparable to competing methods with balanced accuracy 94%, and 95% with noise injection. Additionally, we present a study of fine-tuning and generalisation across image quantisation and noise levels, contributing to the discussion of learning features from deep networks and offering a guideline for future works. © 2018 IEEE.","10.1109/SIBGRAPI.2018.00031","","24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062222641&doi=10.1109%2fSIBGRAPI.2018.00031&partnerID=40&md5=ee589583351008ea133a81305163a60b"
"Skin lesion segmentation in dermoscopy images via deep full resolution convolutional networks","Al-masni M.A.; Al-antari M.A.; Choi M.-T.; Han S.-M.; Kim T.-S.","2018","1","1","0","0","0","Unique","0","","","","","","","Background and objective: Automatic segmentation of skin lesions in dermoscopy images is still a challenging task due to the large shape variations and indistinct boundaries of the lesions. Accurate segmentation of skin lesions is a key prerequisite step for any computer-aided diagnostic system to recognize skin melanoma. Methods: In this paper, we propose a novel segmentation methodology via full resolution convolutional networks (FrCN). The proposed FrCN method directly learns the full resolution features of each individual pixel of the input data without the need for pre- or post-processing operations such as artifact removal, low contrast adjustment, or further enhancement of the segmented skin lesion boundaries. We evaluated the proposed method using two publicly available databases, the IEEE International Symposium on Biomedical Imaging (ISBI) 2017 Challenge and PH2 datasets. To evaluate the proposed method, we compared the segmentation performance with the latest deep learning segmentation approaches such as the fully convolutional network (FCN), U-Net, and SegNet. Results: Our results showed that the proposed FrCN method segmented the skin lesions with an average Jaccard index of 77.11% and an overall segmentation accuracy of 94.03% for the ISBI 2017 test dataset and 84.79% and 95.08%, respectively, for the PH2 dataset. In comparison to FCN, U-Net, and SegNet, the proposed FrCN outperformed them by 4.94%, 15.47%, and 7.48% for the Jaccard index and 1.31%, 3.89%, and 2.27% for the segmentation accuracy, respectively. Furthermore, the proposed FrCN achieved a segmentation accuracy of 95.62% for some representative clinical benign cases, 90.78% for the melanoma cases, and 91.29% for the seborrheic keratosis cases in the ISBI 2017 test dataset, exhibiting better performance than those of FCN, U-Net, and SegNet. Conclusions: We conclude that using the full spatial resolutions of the input image could enable to learn better specific and prominent features, leading to an improvement in the segmentation performance. © 2018 Elsevier B.V.","10.1016/j.cmpb.2018.05.027","Deep learning; Dermoscopy; Full resolution convolutional network (FrCN); Melanoma; Skin lesion segmentation","404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047600387&doi=10.1016%2fj.cmpb.2018.05.027&partnerID=40&md5=18812c13cc0b21ec98c5062d3b4aad2c"
"Adaptive activation functions for skin lesion classification using deep neural networks","Namozov A.; Ergashev D.; Cho Y.I.","2018","1","1","0","0","0","First occurrence","0","","","","","","","Skin cancer is considered one of the most common human malignancies, and melanoma is the deadliest form of this disease. Early detection can influence the outcome of the disease and improve the chance of surviving. The tremendous improvement of deep learning algorithms in image recognition tasks promises a great success for medical image analysis, in particular, skin lesion classification for melanoma diagnosis. Activation functions play an important role in the performance of deep neural networks for image recognition problems as well as medical image classification. In this paper, we show that a deep neural network model with adaptive piecewise linear units can achieve excellent results in skin disease recognition. Experimental results show that a convolutional neural network model with adaptive piecewise linear units outperforms the same network with different activation functions in the skin lesion classification task. All experiments are performed using the data provided in International Skin Imaging Collaboration (ISIC) 2018 Skin Lesion Analysis towards Melanoma Detection. © 2018 IEEE.","10.1109/SCIS-ISIS.2018.00048","Activation Functions; Convolutional Neural Networks; Deep learning; Skin Cancer","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067113394&doi=10.1109%2fSCIS-ISIS.2018.00048&partnerID=40&md5=ef22394ed5769d43d9e58069ae6d5051"
"The Effect of the Training Set Size in a Skin Disorder Classification Application","Petrellis N.","2018","1","1","0","0","0","Unique","0","","","","","","","An image processing technique for skin disorder classification is presented in this paper. A few photographs displaying the same skin disorder are statistically processed in order to define the range of the extracted features. These range limits form a Disease Signature. When a new photograph is analyzed a feature value is compared with the limits defined in each signature in order to select the most likely disease. The proposed method can be implemented on any low cost smart phone since the estimation of the employed features does not require complicated operations. The system is extendible since the Disease Signatures can be defined or customized by a user that is not necessarily qualified in computer science e.g., a dermatologist. Seven skin disorders are supported in the present version and the system is initially trained with a very small set of 3 to 5 photographs per disease. Then, an extended training set of 8 photographs is used, with an up to 2.66 times accuracy improvement. © 2018 IEEE.","10.1109/TSP.2018.8441474","histograms; image processing; kin disorders; lesions; mobile apps; skin infections","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053523466&doi=10.1109%2fTSP.2018.8441474&partnerID=40&md5=5945d84efdb667da881434d70590d8a4"
"Rethinking Skin Lesion Segmentation in a Convolutional Classifier","Burdick J.; Marques O.; Weinthal J.; Furht B.","2018","1","1","0","0","0","First occurrence","0","","","","","","","Melanoma is a fatal form of skin cancer when left undiagnosed. Computer-aided diagnosis systems powered by convolutional neural networks (CNNs) can improve diagnostic accuracy and save lives. CNNs have been successfully used in both skin lesion segmentation and classification. For reasons heretofore unclear, previous works have found image segmentation to be, conflictingly, both detrimental and beneficial to skin lesion classification. We investigate the effect of expanding the segmentation border to include pixels surrounding the target lesion. Ostensibly, segmenting a target skin lesion will remove inessential information, non-lesion skin, and artifacts to aid in classification. Our results indicate that segmentation border enlargement produces, to a certain degree, better results across all metrics of interest when using a convolutional based classifier built using the transfer learning paradigm. Consequently, preprocessing methods which produce borders larger than the actual lesion can potentially improve classifier performance, more than both perfect segmentation, using dermatologist created ground truth masks, and no segmentation altogether. © 2017, Society for Imaging Informatics in Medicine.","10.1007/s10278-017-0026-y","Convolutional neural networks; Deep learning; Machine learning; Medical decision support systems; Medical image analysis; Skin lesions","60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031745245&doi=10.1007%2fs10278-017-0026-y&partnerID=40&md5=730309f20f68889563c32692481eb057"
