"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Adaptive Regularized Kernel Based Fuzzy algorithm","Yes","New","No","Classification","Yes","Melanoma","ISIC archive","232","Not informed","Yes","Not informed","No","Not informed","No","Not informed","Not informed","No","No","","Skin lesion detection using adaptive regularized kernel based fuzzy algorithm"
"Depthwise Separable Convolutional Neural Network","Yes","New","No","Classification","Yes","Melanoma","ISIC 2018 dataset","Not informed","Not informed","No","Not informed","No","Not informed","Yes","Accuracy, Sensitivity, Specificity","87.24% Accuracy, 95.94% Sensitivity, 98.47% Specificity","Yes","No","","Depthwise Separable Convolutional Neural Network for Skin Lesion Classification"
"Fully Convolutional Network with Dense Pooling Layers","Yes","New","No","Segmentation","Yes","Melanoma and Skin Cancer","Not informed","63","Not informed","No","Not informed","No","Not informed","Yes","Not informed","Not informed","Yes","No","","Dense pooling layers in fully convolutional network for skin lesion segmentation"
"MobileNet and DenseNet-121","Yes","Adaptation","No","Classification","Yes","Various skin lesions","HAM10000 dataset","49","Yes","Yes","Not informed","No","Yes","Yes","Precision, Recall, F1-score, Specificity, ROC AUC (micro-average and macro-average)","92.7% Accuracy on unseen testing images after balancing the dataset with MobileNet","Yes","No","","Enhanced Skin Lesions Classification Using Deep Convolutional Networks"
"auto-sklearn and TPOT","No","Adaptation","Yes (Automated Machine Learning)","Forecasting","Not informed","None","UCI data repository and industrial office building consumption data","26","Not informed","No","Not informed","No","Not informed","Yes","Prediction accuracy (not specified)","Improved prediction accuracy using automated machine learning approaches","Yes","No","","Automated Machine Learning for Short-term Electric Load Forecasting"
"Faster R-CNN","No","Adaptation","Yes (Generalized lesion detection)","Detection","VGG16 network","Various types of lesions","Deeplesion dataset","0","Not informed","Yes (Denoising and enhancement)","Not informed","No","Not informed","Yes","Not specified","Improved detection of lesion metastasis and relationship between different lesions","Yes","No","","Generalized lesion detector based on convolutional neural network"
"Multi-Pooling Attention Learning","Yes","New","Yes (Multiple types of pooling operations, attention mechanism and feature fusion)","Classification","Yes","Melanoma","ISIC2017 dataset","4","Not informed","No","Leaderboard and other methods comparison","No","Not informed","Yes (6 top-ranking approaches in ISBI 2017 challenge leaderboard)","Not specified","Superior performance over other methods on ISIC2017 dataset","Yes","No","","Multi-Pooling Attention Learning for Melanoma Recognition"
"ABCD Rule based on Digital Image Processing","Yes","Adaptation","No","Classification","Morphological filter and thresholding for hair removal, ABCD rule for feature extraction","Melanoma","200 dermoscopic images (120 benign lesions, 80 malignant melanomas)","25","No","Yes (Hair removal using morphological filter and thresholding)","Not informed","No","Not informed","Yes","Accuracy, Specificity, Sensitivity (93.2%, 92.59%, 90.15%)","Highest accuracy of 93.2%","No","No","","Melanoma Skin Cancer Detection Based on ABCD Rule"
"Transfer Learning using MobileNet","Yes","Adaptation","No","Classification","Pre-trained MobileNet convolution neural network","Various types of skin cancer","HAM1000 skin lesion dataset","60","Not informed","No","Weighted average of precision and recall (0.97, 0.90, 0.91)","Yes","Not informed","Yes","Categorical accuracy, weighted average of precision and recall","Highest categorical accuracy (not specified) with a weighted average of precision and recall of 0.97, 0.90, 0.91 respectively.","No","No","","Classification of skin cancer dermoscopy images using transfer learning"
"Modified SegNet neural networks","Yes","Adaptation","No","Segmentation","Deep fully convolutional neural networks (FCN)","Melanoma and other skin cancers","ISIC 2017 dataset","24","Not informed","No","Dice coefficient, Jaccard indexes (not specified)","No","Not informed","Yes","Dice coefficient and Jaccard indexes","Desired performances in terms of Dice coefficient and Jaccard indexes (not specified)","No","No","","Skin lesion segmentation based on modification of SegNet neural networks"
