"Document Title","Authors","Publication Year","Title: Skin","Abstract: Skin","First Removal","Abstract: Traditional ML","Second Removal","Duplication Status","Third Removal","Accepted or not","Proposed Model","Tasks (Objectives)","Used Databases"," Proposed Methodology"," Evaluation Metrics and Results","Abstract","DOI","Author Keywords","Article Citation Count","PDF Link"
"Real-time classification and detection of citrus based on improved single short multibox detecter; [基于改进SSD的柑橘实时分类检测]","Li S.; Hu D.; Gao S.; Lin J.; An X.; Zhu M.","2019","0","1","0","0","0","Unique","0","","","","","","","Manually classifying citrus based on its surface defects is tedious and time-consuming and a new real-time method is proposed in this paper based on the improved SSD deep learning model. In the testing bench of the waxing machine, 2 500 images of a variety of citrus species were taken, of which 2 000 were randomly selected as training set and 500 as testing set. Among them, the method classified 19 507 as normal, 9 097 skin defects and 4 327 mechanically damaged. Considering that traditional methods using near-infrared spectra, support vector machines, HSV and RGB color space model are inefficient to detect surface defects of citrus and can only identify one, we proposed an improved method to calculate the image using the one-stage detection model - SSD-ResNet18. The method gets the feature maps through backbone first, and then predicts the number of boundary boxes from the feature maps before determining the location and category of citrus using confidence and non-maximum suppression. This can detect a batch of citrus. In the proposed method, we used the mAP (mean average precision) as the precision index and the mean detection time as the speed index. Optimization in the proposed method was solved using the SGD (stochastic gradient descent) algorithm. The learning scheduler was based on cosine decay, enabling the learning rate to drop to 0 at the end of the training period. This ensures the lost value during the training period to continuously decline. As the model was stable at the end of the training period, it can be saved at the end of the training for further use. While the VGG16 was used as the original SSD backbone, it needs a multitude of parameters and is hence computationally inefficient. We replaced it with the ResNet18, which is approximately 100 times more efficient than the VGG16. An improved feature map was obtained from the analysis of the effective sensory field of different feature maps and the size of citrus in the map, the anchor in which was obtained using the K-means clustering algorithm from the manual label box. The suitable image resolution for the proposed model was obtained by comparing images taken at five resolutions: 512×512 pixels, 640×640 pixels, 768×768 pixels, 896×896 pixels and 1024×1024 pixels. The results showed that the accuracy of the mAP of SSD-ResNet18 was 87.89%, improving 0.34 percentage points higher than the original SSD. The average detecting time of the SSD-ResNet18 was 20.72 ms, reduced by 436.90% compared to the original SSD's 108.83 ms. The accuracy of the AP of SSD-ResNet18 was 94.72%, 85.79% and 83.17%, respectively, for detecting normal, skin lesion and mechanical damage. We compared MobileNetV3, ESPNetV2, VoVNet39 and ResNet18 as backbones and did not find significant difference between their accuracy, but ResNet18 was 10.52 ms, 16.78 ms and 36.76 ms less than MobileNetV3, ESPNetV2 and VoVNet39 in detection time, respectively. The method proposed in the paper meets the requirement on detecting speed in real-time citrus production line and can effectively classify and detect a multitude of citrus simultaneously. © 2019, Editorial Department of the Transactions of the Chinese Society of Agricultural Engineering. All right reserved.","10.11975/j.issn.1002-6819.2019.24.036","Citrus; Deep learning; Models; Nondestructive detection; Object recognition; ResNet18; SSD; Surface defects","39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081004295&doi=10.11975%2fj.issn.1002-6819.2019.24.036&partnerID=40&md5=cb35d8dc964078117bcb93962e3e2b63"
"Attention-guided deep convolutional neural networks for skin cancer classification","Aggarwal A.; Das N.; Sreedevi I.","2019","1","1","0","0","0","First occurrence","0","","","","","","","Skin cancer is a silently killing disease which commonly goes unnoticed in its primitive stage but proves to be deadly later on. Hence, it needs to be detected and classified in the early stages itself. The advent of machine learning as well as deep learning based classification techniques has made this task possible. Deep convolutional neural networks (D-CNNs) have the ability to extract universal and dataset-specific features for the image classification task. But the classification of skin cancer images remains a challenging task due to the absence of balanced class images, difference between images of the same class, similarity between inter-class images and the inefficiency in focusing on the semantically significant areas of the image. To improve the performance of these D-CNNs, we incorporate the attention mechanism that focuses on the regions of importance in an image. In that regard, we propose an attention-guided D-CNN for classification of skin cancer. It is observed from the classification results that a model with attention boosts the accuracy of a normal D-CNN architecture by approximately 12%. Our research work contributes significantly to the field of biomedical image processing by providing a mechanism to improve performance of D-CNNs and facilitating early detection of skin cancer. © 2019 IEEE.","10.1109/IPTA.2019.8936100","Attention; Computer vision; Convolutional neural networks; Deep learning; Dermoscopy; Fine tuning; Skin cancer classification; Transfer learning","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077965756&doi=10.1109%2fIPTA.2019.8936100&partnerID=40&md5=7b0b5b14c699de63fd53e337ab6ad37f"
"Label-Free Non-linear Multimodal Optical Microscopy—Basics, Development, and Applications","Mazumder N.; Balla N.K.; Zhuo G.-Y.; Kistenev Y.V.; Kumar R.; Kao F.-J.; Brasselet S.; Nikolaev V.V.; Krivova N.A.","2019","0","1","0","0","0","Unique","0","","","","","","","Non-linear optical (NLO) microscopy has proven to be a powerful tool especially for tissue imaging with sub-cellular resolution, high penetration depth, endogenous contrast specificity, pinhole-less optical sectioning capability. In this review, we discuss label-free non-linear optical microscopes including the two-photon fluorescence (TPF), fluorescence lifetime imaging microscopy (FLIM), polarization-resolved second harmonic generation (SHG) and coherent anti-Stokes Raman scattering (CARS) techniques with various samples. The non-linear signals are generated from collagen in tissue (SHG), amylopectin from starch granules (SHG), sarcomere structure of fresh muscle (SHG), elastin in skin (TPF), nicotinamide adenine dinucleotide (NADH) in cells (TPF), and lipid droplets in cells (CARS). Again, the non-linear signals are very specific to the molecular structure of the sample and its relative orientation to the polarization of the incident light. Thus, polarization-resolved non-linear optical microscopy provides high image contrast and quantitative estimate of sample orientation. An overview of the advancements on polarization-resolved SHG microscopy including Stokes vector based polarimetry, circular dichroism, and susceptibility are also presented in this review article. The working principles and corresponding implements of above-mentioned microscopy techniques are elucidated. The potential of time-resolved TPF lifetime imaging microscopy (TP-FLIM) is explored by imaging endogenous fluorescence of NAD(P)H, a key coenzyme in cellular metabolic processes. We also discuss single laser source time-resolved multimodal CARS-FLIM microscopy using time-correlated single-photon counting (TCSPC) in combination with continuum generation from photonic crystal fiber (PCF). Using examples, we demonstrate that the multimodal NLO microscopy is a powerful tool to assess the molecular specificity with high resolution. © Copyright © 2019 Mazumder, Balla, Zhuo, Kistenev, Kumar, Kao, Brasselet, Nikolaev and Krivova.","10.3389/fphy.2019.00170","coherent anti-stokes Raman scattering; collagen; fluorescence lifetime imaging; nicotinamide adenine dinucleotide; non-linear optical microscopy; second harmonic generation; two-photon fluorescence microscopy","43","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075240495&doi=10.3389%2ffphy.2019.00170&partnerID=40&md5=845188ad80e0b066bc72d8e176058646"
"Association between Surgical Skin Markings in Dermoscopic Images and Diagnostic Performance of a Deep Learning Convolutional Neural Network for Melanoma Recognition","Winkler J.K.; Fink C.; Toberer F.; Enk A.; Deinlein T.; Hofmann-Wellenhof R.; Thomas L.; Lallas A.; Blum A.; Stolz W.; Haenssle H.A.","2019","1","1","0","0","0","Unique","0","","","","","","","Importance: Deep learning convolutional neural networks (CNNs) have shown a performance at the level of dermatologists in the diagnosis of melanoma. Accordingly, further exploring the potential limitations of CNN technology before broadly applying it is of special interest. Objective: To investigate the association between gentian violet surgical skin markings in dermoscopic images and the diagnostic performance of a CNN approved for use as a medical device in the European market. Design and Setting: A cross-sectional analysis was conducted from August 1, 2018, to November 30, 2018, using a CNN architecture trained with more than 120 000 dermoscopic images of skin neoplasms and corresponding diagnoses. The association of gentian violet skin markings in dermoscopic images with the performance of the CNN was investigated in 3 image sets of 130 melanocytic lesions each (107 benign nevi, 23 melanomas). Exposures: The same lesions were sequentially imaged with and without the application of a gentian violet surgical skin marker and then evaluated by the CNN for their probability of being a melanoma. In addition, the markings were removed by manually cropping the dermoscopic images to focus on the melanocytic lesion. Main Outcomes and Measures: Sensitivity, specificity, and area under the curve (AUC) of the receiver operating characteristic (ROC) curve for the CNN's diagnostic classification in unmarked, marked, and cropped images. Results: In all, 130 melanocytic lesions (107 benign nevi and 23 melanomas) were imaged. In unmarked lesions, the CNN achieved a sensitivity of 95.7% (95% CI, 79%-99.2%) and a specificity of 84.1% (95% CI, 76.0%-89.8%). The ROC AUC was 0.969. In marked lesions, an increase in melanoma probability scores was observed that resulted in a sensitivity of 100% (95% CI, 85.7%-100%) and a significantly reduced specificity of 45.8% (95% CI, 36.7%-55.2%, P <.001). The ROC AUC was 0.922. Cropping images led to the highest sensitivity of 100% (95% CI, 85.7%-100%), specificity of 97.2% (95% CI, 92.1%-99.0%), and ROC AUC of 0.993. Heat maps created by vanilla gradient descent backpropagation indicated that the blue markings were associated with the increased false-positive rate. Conclusions and Relevance: This study's findings suggest that skin markings significantly interfered with the CNN's correct diagnosis of nevi by increasing the melanoma probability scores and consequently the false-positive rate. A predominance of skin markings in melanoma training images may have induced the CNN's association of markings with a melanoma diagnosis. Accordingly, these findings suggest that skin markings should be avoided in dermoscopic images intended for analysis by a CNN. © 2019 American Medical Association. All rights reserved.","10.1001/jamadermatol.2019.1735","","262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070989510&doi=10.1001%2fjamadermatol.2019.1735&partnerID=40&md5=e105d1488c35e7bcd835bf2645a3ce68"
"Superior skin cancer classification by the combination of human and artificial intelligence","Hekler A.; Utikal J.S.; Enk A.H.; Hauschild A.; Weichenthal M.; Maron R.C.; Berking C.; Haferkamp S.; Klode J.; Schadendorf D.; Schilling B.; Holland-Letz T.; Izar B.; von Kalle C.; Fröhling S.; Brinker T.J.; Schmitt L.; Peitsch W.K.; Hoffmann F.; Becker J.C.; Drusio C.; Jansen P.; Lodde G.; Sammet S.; Sondermann W.; Ugurel S.; Zader J.; Salzmann M.; Schäfer S.; Schäkel K.; Winkler J.; Wölbing P.; Asper H.; Bohne A.-S.; Brown V.; Burba B.; Deffaa S.; Dietrich C.; Dietrich M.; Drerup K.A.; Egberts F.; Erkens A.-S.; Greven S.; Harde V.; Jost M.; Kaeding M.; Kosova K.; Lischner S.; Maagk M.; Messinger A.L.; Metzner M.; Motamedi R.; Rosenthal A.-C.; Seidl U.; Stemmermann J.; Torz K.; Velez J.G.; Haiduk J.; Alter M.; Bär C.; Bergenthal P.; Gerlach A.; Holtorf C.; Karoglan A.; Kindermann S.; Kraas L.; Felcht M.; Gaiser M.R.; Klemke C.-D.; Kurzen H.; Leibing T.; Müller V.; Reinhard R.R.; Winter F.; Eicher L.; Hartmann D.; Heppt M.; Kilian K.; Krammer S.; Lill D.; Niesert A.-C.; Oppel E.; Sattler E.; Senner S.; Wallmichrath J.; Wolff H.; Gesierich A.; Giner T.; Glutsch V.; Kerstan A.; Presser D.; Schrüfer P.; Schummer P.; Stolze I.; Weber J.; Drexler K.; Mickler M.; Stauner C.T.; Thiem A.","2019","1","1","0","0","0","Unique","0","","","","","","","Background: In recent studies, convolutional neural networks (CNNs) outperformed dermatologists in distinguishing dermoscopic images of melanoma and nevi. In these studies, dermatologists and artificial intelligence were considered as opponents. However, the combination of classifiers frequently yields superior results, both in machine learning and among humans. In this study, we investigated the potential benefit of combining human and artificial intelligence for skin cancer classification. Methods: Using 11,444 dermoscopic images, which were divided into five diagnostic categories, novel deep learning techniques were used to train a single CNN. Then, both 112 dermatologists of 13 German university hospitals and the trained CNN independently classified a set of 300 biopsy-verified skin lesions into those five classes. Taking into account the certainty of the decisions, the two independently determined diagnoses were combined to a new classifier with the help of a gradient boosting method. The primary end-point of the study was the correct classification of the images into five designated categories, whereas the secondary end-point was the correct classification of lesions as either benign or malignant (binary classification). Findings: Regarding the multiclass task, the combination of man and machine achieved an accuracy of 82.95%. This was 1.36% higher than the best of the two individual classifiers (81.59% achieved by the CNN). Owing to the class imbalance in the binary problem, sensitivity, but not accuracy, was examined and demonstrated to be superior (89%) to the best individual classifier (CNN with 86.1%). The specificity in the combined classifier decreased from 89.2% to 84%. However, at an equal sensitivity of 89%, the CNN achieved a specificity of only 81.5% Interpretation: Our findings indicate that the combination of human and artificial intelligence achieves superior results over the independent results of both of these systems. © 2019 The Author(s)","10.1016/j.ejca.2019.07.019","Artificial intelligence; Deep learning; Melanoma; Skin cancer","292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069037204&doi=10.1016%2fj.ejca.2019.07.019&partnerID=40&md5=aa8bc09e2f12f5764ae39331bb09cbbf"
"Systematic outperformance of 112 dermatologists in multiclass skin cancer image classification by convolutional neural networks","Maron R.C.; Weichenthal M.; Utikal J.S.; Hekler A.; Berking C.; Hauschild A.; Enk A.H.; Haferkamp S.; Klode J.; Schadendorf D.; Jansen P.; Holland-Letz T.; Schilling B.; von Kalle C.; Fröhling S.; Gaiser M.R.; Hartmann D.; Gesierich A.; Kähler K.C.; Wehkamp U.; Karoglan A.; Bär C.; Brinker T.J.; Schmitt L.; Peitsch W.K.; Hoffmann F.; Becker J.C.; Drusio C.; Lodde G.; Sammet S.; Sondermann W.; Ugurel S.; Zader J.; Salzmann M.; Schäfer S.; Schäkel K.; Winkler J.; Wölbing P.; Asper H.; Bohne A.-S.; Brown V.; Burba B.; Deffaa S.; Dietrich C.; Dietrich M.; Drerup K.A.; Egberts F.; Erkens A.-S.; Greven S.; Harde V.; Jost M.; Kaeding M.; Kosova K.; Lischner S.; Maagk M.; Messinger A.L.; Metzner M.; Motamedi R.; Rosenthal A.-C.; Seidl U.; Stemmermann J.; Torz K.; Velez J.G.; Haiduk J.; Alter M.; Bergenthal P.; Gerlach A.; Holtorf C.; Kindermann S.; Kraas L.; Felcht M.; Klemke C.-D.; Kurzen H.; Leibing T.; Müller V.; Reinhard R.R.; Winter F.; Eicher L.; Heppt M.; Kilian K.; Krammer S.; Lill D.; Niesert A.-C.; Oppel E.; Sattler E.; Senner S.; Wallmichrath J.; Wolff H.; Giner T.; Glutsch V.; Kerstan A.; Presser D.; Schrüfer P.; Schummer P.; Stolze I.; Weber J.; Drexler K.; Mickler M.; Stauner C.T.; Thiem A.","2019","1","1","0","0","0","Unique","0","","","","","","","Background: Recently, convolutional neural networks (CNNs) systematically outperformed dermatologists in distinguishing dermoscopic melanoma and nevi images. However, such a binary classification does not reflect the clinical reality of skin cancer screenings in which multiple diagnoses need to be taken into account. Methods: Using 11,444 dermoscopic images, which covered dermatologic diagnoses comprising the majority of commonly pigmented skin lesions commonly faced in skin cancer screenings, a CNN was trained through novel deep learning techniques. A test set of 300 biopsy-verified images was used to compare the classifier's performance with that of 112 dermatologists from 13 German university hospitals. The primary end-point was the correct classification of the different lesions into benign and malignant. The secondary end-point was the correct classification of the images into one of the five diagnostic categories. Findings: Sensitivity and specificity of dermatologists for the primary end-point were 74.4% (95% confidence interval [CI]: 67.0–81.8%) and 59.8% (95% CI: 49.8–69.8%), respectively. At equal sensitivity, the algorithm achieved a specificity of 91.3% (95% CI: 85.5–97.1%). For the secondary end-point, the mean sensitivity and specificity of the dermatologists were at 56.5% (95% CI: 42.8–70.2%) and 89.2% (95% CI: 85.0–93.3%), respectively. At equal sensitivity, the algorithm achieved a specificity of 98.8%. Two-sided McNemar tests revealed significance for the primary end-point (p < 0.001). For the secondary end-point, outperformance (p < 0.001) was achieved except for basal cell carcinoma (on-par performance). Interpretation: Our findings show that automated classification of dermoscopic melanoma and nevi images is extendable to a multiclass classification problem, thus better reflecting clinical differential diagnoses, while still outperforming dermatologists at a significant level (p < 0.001). © 2019 The Author(s)","10.1016/j.ejca.2019.06.013","Artificial intelligence; Melanoma; Skin cancer; Skin cancer screening","182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069038904&doi=10.1016%2fj.ejca.2019.06.013&partnerID=40&md5=a73968ddeacb3e9da8e3bd76141493b4"
"Efficient skin lesion segmentation using separable-Unet with stochastic weight averaging","Tang P.; Liang Q.; Yan X.; Xiang S.; Sun W.; Zhang D.; Coppola G.","2019","1","1","0","0","0","Unique","0","","","","","","","Background and objective: Efficient segmentation of skin lesion in dermoscopy images can improve the classification accuracy of skin diseases, which provides a powerful approach for the dermatologists in examining pigmented skin lesions. However, the segmentation is challenging due to the low contrast of skin lesions from a captured image, fuzzy and indistinct lesion boundaries, huge variety of interclass variation of melanomas, the existence of artifacts, etc. In this work, an efficient and accurate melanoma region segmentation method is proposed for computer-aided diagnostic systems. Method: A skin lesion segmentation (SLS) method based on the separable-Unet with stochastic weight averaging is proposed in this work. Specifically, the proposed Separable-Unet framework takes advantage of the separable convolutional block and U-Net architectures, which can extremely capture the context feature channel correlation and higher semantic feature information to enhance the pixel-level discriminative representation capability of fully convolutional networks (FCN). Further, considering that the over-fitting is a local optimum (or sub-optimum) problem, a scheme based on stochastic weight averaging is introduced, which can obtain much broader optimum and better generalization. Results: The proposed method is evaluated in three publicly available datasets. The experimental results showed that the proposed approach segmented the skin lesions with an average Dice coefficient of 93.03% and Jaccard index of 89.25% for the International Skin Imaging Collaboration (ISIC) 2016 Skin Lesion Challenge (SLC) dataset, 86.93% and 79.26% for the ISIC 2017 SLC, and 94.13% and 89.40% for the PH2 dataset, respectively. The proposed approach is compared with other state-of-the-art methods, and the results demonstrate that the proposed approach outperforms them for SLS on both melanoma and non-melanoma cases. Segmentation of a potential lesion with the proposed approach in a dermoscopy image requires less than 0.05 s of processing time, which is roughly 30 times faster than the second best method (regarding the value of Jaccard index) for the ISIC 2017 dataset with the same hardware configuration. Conclusions: We concluded that using the separable convolutional block and U-Net architectures with stochastic weight averaging strategy could enable to obtain better pixel-level discriminative representation capability. Moreover, the considerably decreased computation time suggests that the proposed approach has potential for practical computer-aided diagnose systems, besides provides a segmentation for the specific analysis with improved segmentation performance. © 2019 Elsevier B.V.","10.1016/j.cmpb.2019.07.005","Real-time segmentation; Separable convolutional block; Skin lesion segmentation; Stochastic weight averaging","160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068764142&doi=10.1016%2fj.cmpb.2019.07.005&partnerID=40&md5=73a61d2972e6941d7a2cd0006657e017"
"Automated deep learning design for medical image classification by health-care professionals with no coding experience: a feasibility study","Faes L.; Wagner S.K.; Fu D.J.; Liu X.; Korot E.; Ledsam J.R.; Back T.; Chopra R.; Pontikos N.; Kern C.; Moraes G.; Schmid M.K.; Sim D.; Balaskas K.; Bachmann L.M.; Denniston A.K.; Keane P.A.","2019","0","1","0","0","0","Unique","0","","","","","","","Background: Deep learning has the potential to transform health care; however, substantial expertise is required to train such models. We sought to evaluate the utility of automated deep learning software to develop medical image diagnostic classifiers by health-care professionals with no coding—and no deep learning—expertise. Methods: We used five publicly available open-source datasets: retinal fundus images (MESSIDOR); optical coherence tomography (OCT) images (Guangzhou Medical University and Shiley Eye Institute, version 3); images of skin lesions (Human Against Machine [HAM] 10000), and both paediatric and adult chest x-ray (CXR) images (Guangzhou Medical University and Shiley Eye Institute, version 3 and the National Institute of Health [NIH] dataset, respectively) to separately feed into a neural architecture search framework, hosted through Google Cloud AutoML, that automatically developed a deep learning architecture to classify common diseases. Sensitivity (recall), specificity, and positive predictive value (precision) were used to evaluate the diagnostic properties of the models. The discriminative performance was assessed using the area under the precision recall curve (AUPRC). In the case of the deep learning model developed on a subset of the HAM10000 dataset, we did external validation using the Edinburgh Dermofit Library dataset. Findings: Diagnostic properties and discriminative performance from internal validations were high in the binary classification tasks (sensitivity 73·3–97·0%; specificity 67–100%; AUPRC 0·87–1·00). In the multiple classification tasks, the diagnostic properties ranged from 38% to 100% for sensitivity and from 67% to 100% for specificity. The discriminative performance in terms of AUPRC ranged from 0·57 to 1·00 in the five automated deep learning models. In an external validation using the Edinburgh Dermofit Library dataset, the automated deep learning model showed an AUPRC of 0·47, with a sensitivity of 49% and a positive predictive value of 52%. Interpretation: All models, except the automated deep learning model trained on the multilabel classification task of the NIH CXR14 dataset, showed comparable discriminative performance and diagnostic properties to state-of-the-art performing deep learning algorithms. The performance in the external validation study was low. The quality of the open-access datasets (including insufficient information about patient flow and demographics) and the absence of measurement for precision, such as confidence intervals, constituted the major limitations of this study. The availability of automated deep learning platforms provide an opportunity for the medical community to enhance their understanding in model development and evaluation. Although the derivation of classification models without requiring a deep understanding of the mathematical, statistical, and programming principles is attractive, comparable performance to expertly designed models is limited to more elementary classification tasks. Furthermore, care should be placed in adhering to ethical principles when using these automated models to avoid discrimination and causing harm. Future studies should compare several application programming interfaces on thoroughly curated datasets. Funding: National Institute for Health Research and Moorfields Eye Charity. © 2019 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license.","10.1016/S2589-7500(19)30108-6","","234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071729503&doi=10.1016%2fS2589-7500%2819%2930108-6&partnerID=40&md5=887d3a84b6ed49a7713eb05853fda8fe"
"Cancer diagnosis using deep learning: A bibliographic review","Munir K.; Elahi H.; Ayub A.; Frezza F.; Rizzi A.","2019","0","1","0","0","0","Unique","0","","","","","","","In this paper, we first describe the basics of the field of cancer diagnosis, which includes steps of cancer diagnosis followed by the typical classification methods used by doctors, providing a historical idea of cancer classification techniques to the readers. These methods include Asymmetry, Border, Color and Diameter (ABCD) method, seven-point detection method, Menzies method, and pattern analysis. They are used regularly by doctors for cancer diagnosis, although they are not considered very efficient for obtaining better performance. Moreover, considering all types of audience, the basic evaluation criteria are also discussed. The criteria include the receiver operating characteristic curve (ROC curve), Area under the ROC curve (AUC), F1 score, accuracy, specificity, sensitivity, precision, dice-coefficient, average accuracy, and Jaccard index. Previously used methods are considered inefficient, asking for better and smarter methods for cancer diagnosis. Artificial intelligence and cancer diagnosis are gaining attention as a way to define better diagnostic tools. In particular, deep neural networks can be successfully used for intelligent image analysis. The basic framework of how this machine learning works on medical imaging is provided in this study, i.e., pre-processing, image segmentation and post-processing. The second part of this manuscript describes the different deep learning techniques, such as convolutional neural networks (CNNs), generative adversarial models (GANs), deep autoencoders (DANs), restricted Boltzmann’s machine (RBM), stacked autoencoders (SAE), convolutional autoencoders (CAE), recurrent neural networks (RNNs), long short-term memory (LTSM), multi-scale convolutional neural network (M-CNN), multi-instance learning convolutional neural network (MIL-CNN). For each technique, we provide Python codes, to allow interested readers to experiment with the cited algorithms on their own diagnostic problems. The third part of this manuscript compiles the successfully applied deep learning models for different types of cancers. Considering the length of the manuscript, we restrict ourselves to the discussion of breast cancer, lung cancer, brain cancer, and skin cancer. The purpose of this bibliographic review is to provide researchers opting to work in implementing deep learning and artificial neural networks for cancer diagnosis a knowledge from scratch of the state-of-the-art achievements. © 2019 by the authors.","10.3390/cancers11091235","Convolutional neural networks (CNNs); Deep autoencoders (DANs); Deep learning; Generative adversarial models (GANs); Long short-term memory (LTSM); Recurrent neural networks (RNNs); Restricted Boltzmann’s machine (RBM)","338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071841965&doi=10.3390%2fcancers11091235&partnerID=40&md5=5c9ef6e22291320690a9e58b6ae923a2"
"Melanoma lesion detection and segmentation using deep region based convolutional neural network and fuzzy C-means clustering","Nida N.; Irtaza A.; Javed A.; Yousaf M.H.; Mahmood M.T.","2019","0","1","0","0","0","Unique","0","","","","","","","Objective: Melanoma is a dangerous form of the skin cancer responsible for thousands of deaths every year. Early detection of melanoma is possible through visual inspection of pigmented lesions over the skin, treated with simple excision of the cancerous cells. However, due to the limited availability of dermatologists, the visual inspection alone has the limited and variable accuracy that leads the patient to undergo a series of biopsies and complicates the treatment. In this work, a deep learning method is proposed for automated Melanoma region segmentation using dermoscopic images to overcome the challenges of automated Melanoma region segmentation within dermoscopic images. Materials and methods: A deep region based convolutional neural network (RCNN) precisely detects the multiple affected regions in the form of bounding boxes that simplify localization through Fuzzy C-mean (FCM) clustering. Our method constitutes of three step process: skin refinement, localization of Melanoma region, and finally segmentation of Melanoma. We applied the proposed method on benchmark dataset ISIC-2016 by International Symposium on biomedical images (ISBI) having 900 training and 376 testing Melanoma dermatological images. Main findings: The performance is evaluated for Melanoma segmentation using various quantitative measures. Our method achieved average values of pixel level specificity (SP) as 0.9417, pixel level sensitivity (SE) as 0.9781, F1 _ s core as 0.9589, pixel level accuracy (Ac) as 0.948. In addition, average dice score (Di) of segmentation was recorded as 0.94, which represents good segmentation performance. Moreover, Jaccard coefficient (Jc) averaged value on entire testing images was 0.93. Comparative analysis with the state of art methods and the results have demonstrated the superiority of the proposed method. Conclusion: In contrast with state of the art systems, the RCNN is capable to compute deep features with amen representation of Melanoma, and hence improves the segmentation performance. The RCNN can detect features for multiple skin diseases of the same patient as well as various diseases of different patients with efficient training mechanism. Series of experiments towards Melanoma detection and segmentation validates the effectiveness of our method. © 2019 Elsevier B.V.","10.1016/j.ijmedinf.2019.01.005","CAD tool; Fuzzy C-Means; Melanoma segmentation; RCNN; Region proposal","182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060342436&doi=10.1016%2fj.ijmedinf.2019.01.005&partnerID=40&md5=c9b53545517b14eee55108dfd539fc98"
