"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Improved SSD (Single Shot Detector) with ResNet18 backbone","Yes","Adaptation","No","Classification and Detection","Yes","Not informed (Citrus)","ISIC2018 datasets, but not specified in the input row","2,500 images taken from a testing bench of a waxing machine","Not informed","Not informed","mAP (mean average precision) and mean detection time as the speed index","Not informed","Not informed","Yes, compared with MobileNetV3, ESPNetV2, VoVNet39, and ResNet18 backbones","mAP (mean average precision), AP for normal, skin lesion, and mechanical damage detection","87.89% mAP accuracy, 94.72%, 85.79%, and 83.17% AP accuracy for detecting normal, skin lesion, and mechanical damage respectively.","Yes, compared with original SSD model","No (tested on ISIC2018 datasets but not specified in the input row)","Not informed","Real-time classification and detection of citrus based on improved single short multibox detecter; [基于改进SSD的柑橘实时分类检测]"
"Attention-guided Deep Convolutional Neural Networks (D-CNN)","Yes","Adaptation","No","Classification","Yes","Various skin cancers","Not informed (ISIC dataset is mentioned but not specified in the input row)","Not informed","No, due to absence of balanced class images and difference between images of same class","Not informed","Classification results with attention boosts accuracy by approximately 12%","Yes (fine-tuning is mentioned)","Not informed","No, but compared to normal D-CNN architecture without attention mechanism","Accuracy and classification results with attention boosts accuracy by approximately 12%","Approximately 12% boost in accuracy with attention mechanism","Yes (compared to original D-CNN model)","No, tested on skin cancer images but not specified which dataset is used","Not informed","Attention-guided deep convolutional neural networks for skin cancer classification"
"Non-linear optical microscopy (NLO) techniques: TPF, FLIM, SHG, and CARS","No","Not applicable","Yes, multimodal NLO microscopy is a combination of different techniques","Imaging with sub-cellular resolution, high penetration depth, endogenous contrast specificity, and pinhole-less optical sectioning capability","No (label-free)","Not informed","Various samples: collagen in tissue, amylopectin from starch granules, sarcomere structure of fresh muscle, elastin in skin, NADH in cells, and lipid droplets in cells","Not informed","No (different techniques used for different samples)","Not applicable","High image contrast and quantitative estimate of sample orientation using polarization-resolved non-linear optical microscopy","Not applicable","Not informed","No, but compared to other imaging techniques such as fluorescence microscopy","Image contrast and quantitative estimate of sample orientation using polarization-resolved non-linear optical microscopy","High image contrast and quantitative estimate of sample orientation using polarization-resolved non-linear optical microscopy","Yes, compared to other imaging techniques such as fluorescence microscopy","No (tested on various samples but not specified which dataset is used)","Not informed","Label-Free Non-linear Multimodal Optical Microscopy—Basics, Development, and Applications"
"Deep learning Convolutional Neural Network (CNN)","Yes","Adaptation","No","Melanoma recognition and diagnosis","Yes","Melanoma","More than 120,000 dermoscopic images of skin neoplasms with corresponding diagnoses","130 melanocytic lesions (107 benign nevi and 23 melanomas)","No (benign nevi vs. melanoma)","Gentian violet surgical skin markings were applied to some images, which affected the CNN's performance","Sensitivity, specificity, area under the curve (AUC) of receiver operating characteristic (ROC) curve for diagnostic classification in unmarked, marked, and cropped images","Not applicable","Not informed","Yes, compared to CNN's performance with and without gentian violet skin markings","Sensitivity (95.7%), specificity (84.1%), AUC of ROC curve (0.969) for unmarked images; sensitivity (100%), specificity (45.8%), AUC of ROC curve (0.922) for marked images","Highest sensitivity and specificity were achieved when cropping the dermoscopic images to focus on the melanocytic lesion, with a sensitivity of 100%, specificity of 97.2%, and AUC of ROC curve of 0.993","Yes (compared to other CNN architectures)","No (tested on same dataset used for training the model)","Skin markings significantly interfered with the CNN's correct diagnosis, increasing false-positive rate","Association between Surgical Skin Markings in Dermoscopic Images and Diagnostic Performance of a Deep Learning Convolutional Neural Network for Melanoma Recognition"
"Combination of human and artificial intelligence using a CNN","Yes","Adaptation","Yes, combination of human (dermatologists) and AI (CNN)","Skin cancer classification into five diagnostic categories or binary classification as benign or malignant","Yes, using deep learning techniques to train a CNN","Melanoma and nevi","11,444 dermoscopic images divided into five diagnostic categories","300 biopsy-verified skin lesions used for testing the combined classifier","No (class imbalance in binary problem)","Not informed","Accuracy, sensitivity, and specificity of the combination of human and AI classifiers compared to individual classifiers","Not applicable","Not informed","Yes, comparison with individual CNN classifier and dermatologists' performance","Accuracy (82.95%), sensitivity (89%) for multiclass task; accuracy not reported but sensitivity of 86.1% for binary classification by the best individual classifier (CNN)","Combination of human and AI classifiers achieved an accuracy of 82.95%, which was higher than the best individual classifier","Yes, comparison with state-of-the-art CNN architectures","No (tested on same dataset used for training)","Class imbalance in binary problem affected specificity of combined classifier","Superior skin cancer classification by the combination of human and artificial intelligence"
"Convolutional Neural Network (CNN)","Yes","Adaptation","No, single CNN model used for classification","Multiclass skin cancer image classification into five diagnostic categories or binary classification as benign or malignant","Yes, using novel deep learning techniques to train the CNN","Melanoma and nevi (primary end-point), multiple diagnoses including basal cell carcinoma (secondary end-point)","11,444 dermoscopic images covering dermatologic diagnoses commonly faced in skin cancer screenings","300 biopsy-verified images used for testing the CNN's performance compared to 112 dermatologists","No (class imbalance in binary problem)","Not informed","Sensitivity, specificity of the CNN and dermatologists' performance on primary end-point; sensitivity, specificity for secondary end-point with five diagnostic categories","Not applicable","Not informed","Yes, comparison with human experts (112 dermatologists) in multiclass skin cancer image classification","Sensitivity and specificity of CNN and dermatologists' performance on primary end-point; sensitivity and specificity for secondary end-point with five diagnostic categories","CNN outperformed dermatologists at a significant level (p < 0.001) in multiclass skin cancer image classification, achieving higher sensitivity and specificity compared to human experts","Yes, comparison with state-of-the-art CNN architectures for skin cancer image classification tasks","No (tested on same dataset used for training)","CNN outperformed dermatologists in multiclass skin cancer image classification but did not achieve perfect performance","Systematic outperformance of 112 dermatologists in multiclass skin cancer image classification by convolutional neural networks"
"Separable-Unet with stochastic weight averaging","Yes, skin lesion segmentation (SLS)","Adaptation","No, single model used for SLS","Efficient and accurate melanoma region segmentation in dermoscopy images","Yes, using separable convolutional block and U-Net architectures to capture context feature channel correlation and higher semantic feature information","Melanomas (specifically addressed) and non-melanomas (also segmented)","Three publicly available datasets: ISIC 2016 Skin Lesion Challenge, ISIC 2017 Skin Lesion Challenge, PH2 dataset","Not specified in the text but mentioned as 'three publicly available datasets'","No (class imbalance not explicitly stated)","Not informed","Dice coefficient and Jaccard index for SLS performance on three different datasets","Not applicable","Not informed","Yes, comparison with other state-of-the-art methods in skin lesion segmentation (SLS)","Dice coefficient and Jaccard index for SLS performance on three different datasets","Proposed approach achieved an average Dice coefficient of 93.03% and Jaccard index of 89.25% for ISIC 2016 dataset, outperforming other state-of-the-art methods in skin lesion segmentation (SLS)","Yes, comparison with current best-performing method on the same hardware configuration","No (tested on three publicly available datasets: ISIC 2016 Skin Lesion Challenge, ISIC 2017 Skin Lesion Challenge, PH2 dataset)","Not explicitly stated","Efficient skin lesion segmentation using separable-Unet with stochastic weight averaging"
"Automated deep learning software (Google Cloud AutoML)","Yes, skin lesion classification","Adaptation","No, single model used for each dataset","Develop medical image diagnostic classifiers by health-care professionals with no coding experience","Yes, using neural architecture search framework to automatically develop deep learning architectures","Multiple types of diseases (e.g. diabetic retinopathy, age-related macular degeneration, skin lesions)","Five publicly available open-source datasets: MESSIDOR, Guangzhou Medical University and Shiley Eye Institute version 3, HAM10000, NIH CXR14 dataset","Not specified in the text but mentioned as 'five publicly available datasets'","No (class imbalance not explicitly stated)","Not informed","Internal validation using sensitivity, specificity, positive predictive value and area under precision recall curve for each dataset","Not applicable","Not informed","Yes, comparison with state-of-the-art performing deep learning algorithms on the same datasets","Sensitivity, specificity, positive predictive value and area under precision recall curve for each dataset","Automated deep learning models showed comparable discriminative performance and diagnostic properties to expertly designed models in binary classification tasks (sensitivity: 73.3-97%; specificity: 67-100%) but lower performance in multiple classification tasks (sensitivity: 38-100%, specificity: 67-100%)","Yes, comparison with current best-performing deep learning algorithms on the same datasets","No (tested on five publicly available open-source datasets)","Quality of open-access datasets and absence of measurement for precision were major limitations","Automated deep learning design for medical image classification by health-care professionals with no coding experience: a feasibility study"
"Deep learning techniques (various)","Yes, skin cancer diagnosis","Adaptation","No, single models used for each type of cancer","Cancer diagnosis using deep learning: a bibliographic review","Yes, various techniques (CNNs, GANs, DANs, RBM, SAE, CAE, RNNs, LTSM, M-CNN, MIL-CNN) used for feature extraction and image analysis","Multiple types of cancers: breast cancer, lung cancer, brain cancer, skin cancer","Not specified in the text but mentioned as 'various datasets' for each type of cancer","Not specified in the text but mentioned as 'large number of images' used for training and testing deep learning models","No (class imbalance not explicitly stated)","Yes, pre-processing step included in deep learning framework","Various evaluation metrics: ROC curve, AUC, F1 score, accuracy, specificity, sensitivity, precision, dice-coefficient, average accuracy, Jaccard index","Not applicable","Yes, data augmentation techniques used to increase size of training dataset","No (compared with state-of-the-art deep learning models for each type of cancer)","Various evaluation metrics: ROC curve, AUC, F1 score, accuracy, specificity, sensitivity, precision, dice-coefficient, average accuracy, Jaccard index","Deep learning techniques showed improved performance compared to traditional methods (e.g. ABCD method) for cancer diagnosis","Yes, comparison with state-of-the-art deep learning models for each type of cancer","No (tested on various datasets for each type of cancer)","Not explicitly stated","Cancer diagnosis using deep learning: A bibliographic review"
"Deep region based convolutional neural network (RCNN) and Fuzzy C-means clustering","Yes, melanoma lesion detection and segmentation","Adaptation","No, single models used for each task","Automated Melanoma region segmentation using dermoscopic images","Yes, deep features extracted by RCNN for melanoma detection and segmentation","Melanoma","ISIC-2016 benchmark dataset (900 training and 376 testing Melanoma dermatological images)","Not specified in the text but mentioned as 'large number of images' used for training and testing RCNN model","No (class imbalance not explicitly stated)","Yes, skin refinement step included in proposed method","Quantitative measures: pixel level specificity, sensitivity, F1 score, accuracy, dice score, Jaccard coefficient","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for melanoma segmentation and detection","Quantitative measures: pixel level specificity, sensitivity, F1 score, accuracy, dice score, Jaccard coefficient","RCNN achieved average values of pixel level specificity (SP) as 0.9417, pixel level sensitivity (SE) as 0.9781, F1 _ s core as 0.9589, and pixel level accuracy (Ac) as 0.948 for melanoma segmentation","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on ISIC-2016 benchmark dataset)","Not explicitly stated","Melanoma lesion detection and segmentation using deep region based convolutional neural network and fuzzy C-means clustering"
