"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Real Enhanced Super-Resolution Generative Adversarial Networks (Real-ESRGAN)","Yes","New","No","Super-resolution of medical images","Not informed","Various","BraTS, ISIC skin cancer dataset, CAMUS, MIMIC-CXR","Not informed","Not informed","Yes","Quantitative and qualitative evaluation","Not informed","Not informed","Yes","PSNR, SSIM, MSE","Up to 12% improvement in PSNR, SSIM, and MSE","Yes","Yes","Not informed","Super-Resolution of Medical Images Using Real ESRGAN"
"Dual Residual Network (DRN)","Yes","New","No","Detection of synthesized biomedical imagery","Yes","Various","Not informed","Not informed","Not informed","Not informed","Quantitative evaluation","Not informed","Not informed","Yes","Accuracy, Equal Error Rates, Sensitivity, Specificity","98.80% accuracy for CT nodules and 98.97% for lesions","Yes","Yes","Not informed","Dual residual learning of frequency fingerprints in detecting synthesized biomedical imagery"
"Not informed","Yes","Not informed","No","Segmentation and classification of skin cancer diseases","Yes","Various","Not informed","Not informed","Not informed","Mentioned as important, but details not provided","Not informed","Not informed","Mentioned as a technique, but not applied in this study","No","Not informed","Not informed","No","No","Dataset diversity, model interpretability, and real-world implementation feasibility","Segmentation and Classification of Skin Cancer Diseases Based on Deep Learning: Challenges and Future Directions"
"Ensemble model (ResNet, EfficientNet, VGG16)","Yes","New","Yes","Classification of skin lesions as malignant or benign","Yes","Various","HAM10000","Not informed","Not informed","Yes, rigorous preprocessing was applied to images","Test dataset evaluation","Not informed","Not mentioned explicitly but implied through 'preprocessing techniques'","No explicit comparison with state-of-the-art models, only internal ensemble performance reported","Accuracy","99.1% accuracy on the test dataset","Not explicitly compared to other SOTA methods in this study context","No, tested only with HAM10000 dataset","Need for further validation across diverse populations and datasets","Ensemble Fusion: Skin Cancer Detection using ResNet, EfficientNet, and VGG Architectures"
"GAN-augmented CNN model","Yes","Adaptation","Yes","Classification of skin lesions as benign or malignant","Yes","Melanoma and other types","Not informed","Not informed","Not informed","Not mentioned explicitly, but GAN-generated images are used for augmentation","Experimental evaluation with real and synthetic data","Yes, pre-trained CNN architecture is fine-tuned","Yes, using GAN-generated synthetic skin lesion images","No explicit comparison to state-of-the-art models mentioned in the context of this study","Accuracy, Precision, Recall","94% accuracy with precision and recall rates of 92% and 93%, respectively","Not explicitly compared to other SOTA methods within this specific research framework","No explicit mention of testing on diverse datasets beyond the primary dataset used for training and evaluation","Need for extensive labeled datasets, addressed through GAN-based data augmentation","GAN-Alz: Synthetic Data Generation for Multiclass Alzheimer’s Classification"
"Bat algorithm for rational B'ezier curves","Yes","New","No","Border detection of melanoma and other skin lesions from images","Not informed","Melanoma and other types","Not informed, but tested on medical images of melanomas","2 examples of medical images","Not informed","No further pre/post-processing needed","Experimental evaluation with two examples","Not informed","Not mentioned","Yes, outperforms the polynomial approach","Not specified explicitly in this context","Promising results with rational B'ezier curves using bat algorithm","No explicit comparison to state-of-the-art methods mentioned within this study's framework","No, only tested on two examples of medical images of melanomas","Not explicitly stated in the given information","Computing rational border curves of melanoma and other skin lesions from medical images with bat algorithm"
"Fine-tuned deep learning neural network using transfer learning","Yes","Adaptation","No","Skin lesion characterization and classification","Yes, utilizing pre-trained CNN","Various types of skin cancer","Not specified explicitly in the given text","Limited number of skin lesion images","Not informed","Yes, segments and crops the lesion, smooths image masking effect","Experimental evaluation with classification accuracy metrics","Yes, fine-tuning pre-trained deep learning model","Not mentioned explicitly in this context","No explicit comparison to state-of-the-art methods within the study's framework","Overall accuracy and individual class classification accuracy","Improved accuracy in 7 out of 8 classes with pre-trained model and specialized image prefiltering","Not explicitly compared to other SOTA approaches in this specific research context","No explicit mention of testing on diverse datasets beyond the primary dataset used for evaluation","Limited availability of annotated data, addressed through transfer learning and prefiltering","On Image Prefiltering for Skin Lesion Characterization Utilizing Deep Transfer Learning"
"Not informed, review of existing skin cancer diagnosis apps","Yes","Not informed","No","Review and evaluation of smartphone skin cancer diagnosis apps","Not applicable in this context, as it's a review paper","Skin cancer","Web of Science, Science Direct, IEEE explore","Not informed, not relevant to the study","Not informed, not relevant to the study","Not applicable in this context, as it's a review paper","Evaluation and benchmarking of existing apps","Not informed, not relevant to the study","Not mentioned, not relevant to the study","No explicit comparison to state-of-the-art methods within this specific research context","Error rate, time complexity, reliability","Not informed, as it's a review paper and doesn't present new results","Not explicitly compared to other SOTA approaches in this specific research context","No explicit mention of testing on diverse datasets beyond the primary dataset used for evaluation","Open issues in terms of evaluation and benchmarking that hamper the utility of skin cancer diagnosis apps","A review on smartphone skin cancer diagnosis apps in evaluation and benchmarking: coherent taxonomy, open issues and recommendation pathway solution"
"Not informed, evaluation method for deep learning models","Yes","Not informed","No","Evaluating the robustness of medical imaging networks using adversarial examples","Not applicable in this context, as it's an evaluation method","Skin cancer (skin lesion classification)","Not specified explicitly in the given text","96","Not informed","Not mentioned, as it's focused on adversarial examples","Evaluation using adversarial examples","Not informed, but state-of-the-art networks like Inception and UNet are used","Adversarial examples are used to evaluate robustness","Comparison of different models (Inception, UNet) in terms of robustness","Robustness to adversarial examples, generalizability","Not informed, as it's an evaluation study and doesn't present new results","State-of-the-art networks (Inception, UNet) are used in the experiments","Two datasets: skin lesion classification and whole brain segmentation","Models with comparable generalizability may have significant variations in robustness","Generalizability vs. robustness: Investigating medical imaging networks using adversarial examples"
"Not informed, review of evaluation and benchmarking techniques","Yes","Not informed","No","Evaluation and benchmarking of real-time skin detectors","Not applicable in this context, as it's a review paper","Skin cancer (general)","Not specified explicitly in the given text","64","Not informed","Not mentioned, as it's focused on evaluation and benchmarking techniques","Evaluation using multiple criteria (reliability, time complexity, error rate)","Not informed, not relevant to the study","Not mentioned, not relevant to the study","Comparison of different evaluation and benchmarking techniques","Reliability, time complexity, error rate","Not informed, as it's a review paper and doesn't present new results","Not explicitly compared to other SOTA approaches in this specific research context","No explicit mention of testing on diverse datasets beyond the primary dataset used for evaluation","Open issues and challenges in evaluation and benchmarking, such as conflicting criteria and limitations of current techniques","Comprehensive insights into evaluation and benchmarking of real-time skin detectors: Review, open issues & challenges, and recommended solutions"
